Number,Frequency,impedance,R,impedance2,I,Significance,Time
79,5.6234e+01,1.7166e+06,-1.9911e+05,0.972,58.0
80,5.0119e+01,2.0494e+06,-2.1762e+04,0.952,60.5
81,4.4668e+01,2.1225e+06,3.8288e+04,0.956,63.5
82,3.9811e+01,2.1456e+06,-8.1526e+04,0.948,66.1
83,3.5481e+01,2.1323e+06,-7.6153e+04,0.940,68.1
84,3.1623e+01,2.1979e+06,-6.2100e+04,0.937,70.2
85,2.8184e+01,2.2416e+06,-3.4742e+04,0.945,72.4
86,2.5119e+01,2.2731e+06,-5.8571e+04,0.960,74.9
87,2.2387e+01,2.3603e+06,-5.5001e+04,0.961,77.5
88,1.9953e+01,2.3926e+06,-1.9198e+04,0.852,80.3
89,1.7783e+01,2.4434e+06,-3.4318e+04,0.962,83.4
90,1.5849e+01,2.5323e+06,-5.6536e+04,0.960,86.8
91,1.4125e+01,2.5800e+06,-3.2316e+04,0.965,90.8
92,1.2589e+01,2.6535e+06,-4.5083e+04,0.963,95.3
93,1.1220e+01,2.7188e+06,-4.8171e+04,0.968,99.7
94,1.0000e+01,2.7747e+06,-4.6174e+04,0.962,104.5
95,8.9125e+00,2.8608e+06,-5.0036e+04,0.969,110.2
96,7.9433e+00,2.9245e+06,-5.0855e+04,0.971,117.0
97,7.0795e+00,2.9763e+06,-6.9422e+04,0.973,123.9
98,6.3096e+00,3.0482e+06,-5.9823e+04,0.974,131.0
99,5.6234e+00,3.0998e+06,-6.4211e+04,0.974,138.9
100,5.0119e+00,3.1736e+06,-6.0860e+04,0.975,147.7
101,4.4668e+00,3.2125e+06,-5.6404e+04,0.974,157.3
102,3.9811e+00,3.2599e+06,-5.8871e+04,0.975,168.1
103,3.5481e+00,3.3359e+06,-6.9050e+04,0.977,180.1
104,3.1623e+00,3.4025e+06,-6.7383e+04,0.977,193.5
105,2.8184e+00,3.4676e+06,-6.4759e+04,0.978,208.4
106,2.5119e+00,3.5108e+06,-5.9868e+04,0.978,225.0
107,2.2387e+00,3.5683e+06,-5.4635e+04,0.978,243.4
108,1.9953e+00,3.6171e+06,-5.4065e+04,0.978,264.0
109,1.7783e+00,3.7589e+06,-6.4104e+04,0.982,288.3
110,1.5849e+00,3.8862e+06,-6.7533e+04,0.983,314.5
111,1.4125e+00,3.9284e+06,-6.2392e+04,0.983,343.7
112,1.2589e+00,3.9535e+06,-6.1073e+04,0.982,376.2
113,1.1220e+00,3.9960e+06,-5.5981e+04,0.982,412.5
114,1.0000e+00,3.9959e+06,-6.1699e+04,0.981,453.1
115,1.1220e+00,4.0386e+06,-5.8105e+04,0.981,493.5
116,1.2589e+00,4.0549e+06,-6.5955e+04,0.982,529.7
117,1.4125e+00,4.0275e+06,-6.1242e+04,0.981,562.2
118,1.5849e+00,4.0515e+06,-7.0998e+04,0.982,595.8
119,1.7783e+00,4.0449e+06,-7.3631e+04,0.982,621.9
120,1.9953e+00,4.1077e+06,-8.1910e+04,0.981,644.0
121,2.2387e+00,4.1108e+06,-8.6205e+04,0.981,664.6
122,2.5119e+00,4.0717e+06,-9.1672e+04,0.980,683.1
123,2.8184e+00,4.0601e+06,-1.0029e+05,0.980,699.7
124,3.1623e+00,4.0541e+06,-1.1930e+05,0.980,714.6
125,3.5481e+00,4.0667e+06,-1.3225e+05,0.980,728.0
126,3.9811e+00,4.0292e+06,-1.2102e+05,0.979,740.0
127,4.4668e+00,4.0458e+06,-1.2830e+05,0.981,750.7
128,5.0119e+00,4.0753e+06,-1.3402e+05,0.980,760.4
129,5.6234e+00,4.0546e+06,-1.4679e+05,0.980,769.2
130,6.3096e+00,4.0327e+06,-1.4483e+05,0.980,777.0
131,7.0795e+00,4.0257e+06,-1.5870e+05,0.980,784.2
132,7.9433e+00,4.0218e+06,-1.4278e+05,0.979,790.6
133,8.9125e+00,4.0188e+06,-1.5264e+05,0.976,796.5
134,1.0000e+01,4.0050e+06,-1.4613e+05,0.966,801.7
135,1.1220e+01,3.9934e+06,-1.6294e+05,0.978,806.5
136,1.2589e+01,3.9925e+06,-1.5551e+05,0.972,810.9
137,1.4125e+01,3.9571e+06,-1.5514e+05,0.978,814.9
138,1.5849e+01,3.9080e+06,-1.3828e+05,0.965,818.6
139,1.7783e+01,3.9392e+06,-1.5571e+05,0.977,821.9
140,1.9953e+01,3.8871e+06,-1.5833e+05,0.829,825.0
141,2.2387e+01,3.9027e+06,-1.8876e+05,0.974,827.8
142,2.5119e+01,3.9227e+06,-1.0658e+05,0.981,830.5
143,2.8184e+01,3.9200e+06,-2.3144e+05,0.929,832.9
144,3.1623e+01,3.9325e+06,-1.4559e+05,0.969,835.2
145,3.5481e+01,3.8790e+06,3.6111e+04,0.989,837.3
146,3.9811e+01,3.9131e+06,7.4424e+04,0.987,839.6
147,4.4668e+01,3.8633e+06,-4.3129e+05,0.962,842.2
148,5.0119e+01,4.0212e+06,-8.2231e+04,0.968,844.4
149,5.6234e+01,5.1769e+06,1.6174e+06,0.973,846.4
150,6.3096e+01,3.7806e+06,-7.5101e+05,0.974,848.4
151,7.0795e+01,3.6558e+06,-9.1278e+04,0.970,849.6
152,7.9433e+01,3.9491e+06,8.2666e+04,0.976,850.5
153,8.9126e+01,3.7746e+06,-3.3403e+05,0.913,851.3
154,1.0000e+02,3.7728e+06,-2.9640e+05,0.927,852.1
155,1.1220e+02,4.1645e+06,-1.5422e+05,0.968,853.1
156,1.2589e+02,3.8612e+06,-3.5112e+05,0.975,854.0
157,1.4125e+02,3.7710e+06,-3.5292e+05,0.973,854.7
158,1.5849e+02,3.5990e+06,-4.8528e+05,0.961,855.3
159,1.7783e+02,2.4218e+06,1.0266e+06,0.981,855.9
160,1.9953e+02,3.8262e+06,-4.2892e+05,0.980,856.4
161,2.2387e+02,3.8331e+06,-3.7993e+05,0.976,857.0
162,2.5119e+02,3.7501e+06,-5.4369e+05,0.980,857.6
163,2.8184e+02,3.7434e+06,-5.5387e+05,0.980,858.2
164,3.1623e+02,3.6755e+06,-6.8085e+05,0.982,858.8
165,3.5482e+02,3.5733e+06,-7.3766e+05,0.979,859.4
166,3.9811e+02,3.5038e+06,-8.6151e+05,0.980,860.0
167,4.4669e+02,3.4176e+06,-7.6768e+05,0.991,860.6
168,5.0119e+02,3.4920e+06,-9.2736e+05,0.984,861.2
169,5.6234e+02,3.4798e+06,-1.0970e+06,0.975,862.1
170,6.3096e+02,3.3736e+06,-1.1289e+06,0.959,863.2
171,7.0795e+02,3.2326e+06,-1.2557e+06,0.983,864.0
172,7.9433e+02,3.1576e+06,-1.4116e+06,0.988,864.8
173,8.9125e+02,2.9791e+06,-1.4981e+06,0.986,865.8
174,1.0000e+03,2.9214e+06,-1.4866e+06,0.987,866.7
175,1.1220e+03,2.6923e+06,-1.6741e+06,0.988,867.5
176,1.2589e+03,2.6783e+06,-2.1287e+06,0.991,868.6
177,1.4125e+03,2.3095e+06,-1.7599e+06,0.994,869.5
178,1.5849e+03,1.1558e+06,-3.2236e+05,0.971,870.3
179,1.7783e+03,1.1643e+06,-3.7468e+05,0.972,871.1
180,1.9953e+03,1.1202e+06,-3.2735e+05,0.969,871.7
181,2.2387e+03,1.1340e+06,-4.7743e+05,0.976,872.3
182,2.5119e+03,1.1000e+06,-5.2238e+05,0.976,873.0
183,2.8184e+03,1.0637e+06,-5.5593e+05,0.977,873.6
184,3.1623e+03,9.9512e+05,-6.0571e+05,0.979,874.1
185,3.5481e+03,9.3820e+05,-6.2561e+05,0.982,874.7
186,3.9811e+03,8.6309e+05,-6.5983e+05,0.983,875.3
187,4.4669e+03,7.9824e+05,-6.7450e+05,0.987,875.9
